Company Name,Capacity,Owner,Programme,Project Name,Technology Category,Technology,Website,Location 1
None,40,All IPP,IPP 4,Aggeneys Solar Project,Photovoltaic Power,"Photovoltaic Crystalline Tracking Single Axis
",http://www.saippa.org.za/,"Northern Cape
(-29.23579, 18.89766)"
None,67.9,All IPP,IPP 4,Bokamoso,Photovoltaic Power,"Photovoltaic Crystalline Tracking Single Axis
",http://www.saippa.org.za/,"North West
(-27.15639, 26.39694)"
None,102,All IPP,IPP 4,Copperton Windfarm,Onshore Wind Power,"Onshore Wind
",http://www.saippa.org.za/,"Northern Cape
(-29.9, 22.35)"
None,50,All IPP,IPP 4,De Wildt,Photovoltaic Power,"Photovoltaic Crystalline Tracking Single Axis
",http://www.saippa.org.za/,"North West
(-25.641, 27.92517)"
None,75,All IPP,IPP 4,Droogfontein 2 Solar,Photovoltaic Power,"Photovoltaic Crystalline Tracking Single Axis
",http://www.saippa.org.za/,"Northern Cape
(-28.56667, 24.73333)"
None,75,All IPP,IPP 4,Dyason's Klip 1,Photovoltaic Power,"Photovoltaic Crystalline Tracking Single Axis
",http://www.saippa.org.za/,"Northern Cape
(-28.57338, 21.0729)"
None,75,All IPP,IPP 4,Dyason's Klip 2,Photovoltaic Power,"Photovoltaic Crystalline Tracking Single Axis
",http://www.saippa.org.za/,"Northern Cape
(-28.56778, 21.05628)"
None,31.9,All IPP,IPP 4,Excelsior Wind Energy Facility,Onshore Wind Power,"Onshore Wind
",http://www.saippa.org.za/,"Western Cape
(-34.22642, 20.22885)"
None,135.93,All IPP,IPP 4,Garob Wind Farm,Onshore Wind Power,"Onshore Wind
",http://www.saippa.org.za/,"Northern Cape
(-29.91921, 22.414)"
None,117.72,All IPP,IPP 4,Golden Valley Wind,Onshore Wind Power,"Onshore Wind
",http://www.saippa.org.za/,"Eastern Cape
(-32.90379, 25.96016)"
None,55,All IPP,IPP 4,Greefspan PV Power Plant No. 2 Solar Park,Photovoltaic Power,"Photovoltaic Crystalline Tracking Single Axis
",http://www.saippa.org.za/,"Northern Cape
(-29.38486, 23.31147)"
None,136.7,All IPP,IPP 4,Kangnas,Onshore Wind Power,"Onshore Wind
",http://www.saippa.org.za/,"Northern Cape
(-29.6098, 18.35648)"
None,100,All IPP,IPP 4,Kathu Solar Park,Concentrated Solar Power,"Concentrated Solar Power with Storage (Min. 3 hours per Day)
",http://www.saippa.org.za/,"Northern Cape
(-27.62, 23.02)"
None,75,All IPP,IPP 4,Konkoonsies II Solar Facility,Photovoltaic Power,"Photovoltaic Crystalline Tracking Single Axis
",http://www.saippa.org.za/,"Northern Cape
(-28.89881, 19.55738)"
None,4.7,All IPP,IPP 4,Kruisvallei Hydro,Small Hydro Power,"Small Hydro
",http://www.saippa.org.za/,"Free State
(-28.40408, 28.36379)"
None,25,All IPP,IPP 4,Ngodwana Energy Project,Biomass Power,"Biomass
",http://www.saippa.org.za/,"Mpumalanga
(-25.56667, 30.66194)"
None,140,All IPP,IPP 4,Oyster Bay Wind Farm,Onshore Wind Power,"Onshore Wind
",http://www.saippa.org.za/,"Eastern Cape
(-34.11639, 24.64889)"
None,107.76,All IPP,IPP 4,Perdekraal East,Onshore Wind Power,"Onshore Wind
",http://www.saippa.org.za/,"Western Cape
(-33.05844, 20.11238)"
None,100,All IPP,IPP 4,Redstone Solar Thermal Power Project,Concentrated Solar Power,"Concentrated Solar Power with Storage (Min. 3 hours per Day)
",http://www.saippa.org.za/,"Northern Cape
(-28.29221, 23.37255)"
None,140,All IPP,IPP 4,Roggeveld Wind Farm,Onshore Wind Power,"Onshore Wind
",http://www.saippa.org.za/,"Northern Cape
(-32.91257, 20.50924)"
None,75,All IPP,IPP 4,Sirius Solar PV Project One,Photovoltaic Power,"Photovoltaic Crystalline Tracking Single Axis
",http://www.saippa.org.za/,"Northern Cape
(-28.54736, 21.09495)"
None,75,All IPP,IPP 4,Solar Capital Orange,Photovoltaic Power,"Photovoltaic Crystalline Tracking Single Axis
",http://www.saippa.org.za/,"Northern Cape
(-30.52472, 19.60667)"
None,139.8,All IPP,IPP 4,The Karusa Wind Farm,Onshore Wind Power,"Onshore Wind
",http://www.saippa.org.za/,"Northern Cape
(-32.86985, 20.63483)"
None,138.9,All IPP,IPP 4,The Nxuba Wind Farm,Onshore Wind Power,"Onshore Wind
",http://www.saippa.org.za/,"Eastern Cape
(-32.73767, 25.96684)"
None,139.4,All IPP,IPP 4,The Soetwater Wind Farm,Onshore Wind Power,"Onshore Wind
",http://www.saippa.org.za/,"Northern Cape
(-32.75318, 20.66263)"
None,75,All IPP,IPP 4,Waterloo Solar Park,Photovoltaic Power,"Photovoltaic Crystalline Tracking Single Axis
",http://www.saippa.org.za/,"North West
(-27.03875, 24.78167)"
None,32.7,All IPP,IPP 4,Wesley-Ciskei,Onshore Wind Power,"Onshore Wind
",http://www.saippa.org.za/,"Eastern Cape
(-33.29028, 27.37222)"
None,75,All IPP,IPP 4,Zeerust,Photovoltaic Power,"Photovoltaic Crystalline Tracking Single Axis
",http://www.saippa.org.za/,"North West
(-25.55447, 26.07488)"
None,5,All IPP,IPP Small,Adams Solar PV Project (Pty) Ltd,Photovoltaic Power,"Photovoltaic (Other)
",http://www.saippa.org.za/,"Northern Cape
(-27.38803, 23.00172)"
